,id,progress,mode,fontsize,color,midHash,content,ctime,weight,pool,idStr,date,time
301,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
302,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
303,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
304,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
305,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
306,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
307,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
308,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
309,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
310,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
311,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
312,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
313,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
314,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
315,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
316,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
317,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
318,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
319,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
320,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
321,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
322,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
323,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
324,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
325,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
326,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
327,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
328,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
329,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
330,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
331,1686053150190117120,6382,1,25,16777215,7ce4c7d9,还没,1728084398,5,3,1686053150190117120,2024-10-04,23:26:38
332,1674816196811391232,3578,1,25,16777215,5e80b945,还没,1726744848,5,3,1674816196811391232,2024-09-19,11:20:48
333,1674184116330958848,1029922,1,25,16777215,9aa9c528,5,1726669499,5,3,1674184116330958848,2024-09-18,14:24:59
334,1673415057398158592,3787,1,25,16777215,9acb77ad,已投,1726577820,5,3,1673415057398158592,2024-09-17,12:57:00
335,1673383611753291264,1029000,1,25,16777215,293526b8,5,1726574071,5,3,1673383611753291264,2024-09-17,11:54:31
336,1673383454408107520,5785,1,25,16777215,293526b8,已投,1726574052,5,3,1673383454408107520,2024-09-17,11:54:12
337,1692448432872228608,4415,1,25,16777215,c8242e63,已投,1728846775,5,3,1692448432872228608,2024-10-13,19:12:55
